id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,akses_air_minum,jumlah_akses,satuan,tahun
200,32,JAWA BARAT,3203,KABUPATEN CIANJUR,POMPA ,62354,KEPALA KELUARGA,2019
201,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SUMUR TERLINDUNG ,9235,KEPALA KELUARGA,2019
202,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MATA AIR TERLINDUNG ,40456,KEPALA KELUARGA,2019
203,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AIR HUJAN ,6837,KEPALA KELUARGA,2019
204,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TERMINAL AIR ,43884,KEPALA KELUARGA,2019
205,32,JAWA BARAT,3209,KABUPATEN CIREBON,AIR LEDENG  - PERKOTAAN,82516,KEPALA KELUARGA,2019
206,32,JAWA BARAT,3209,KABUPATEN CIREBON,AIR LEDENG  - PEDESAAN,85799,KEPALA KELUARGA,2019
207,32,JAWA BARAT,3209,KABUPATEN CIREBON,POMPA ,260082,KEPALA KELUARGA,2019
208,32,JAWA BARAT,3209,KABUPATEN CIREBON,SUMUR TERLINDUNG ,128059,KEPALA KELUARGA,2019
209,32,JAWA BARAT,3209,KABUPATEN CIREBON,MATA AIR TERLINDUNG ,33,KEPALA KELUARGA,2019
210,32,JAWA BARAT,3209,KABUPATEN CIREBON,AIR HUJAN ,88,KEPALA KELUARGA,2019
211,32,JAWA BARAT,3209,KABUPATEN CIREBON,TERMINAL AIR ,266,KEPALA KELUARGA,2019
212,32,JAWA BARAT,3205,KABUPATEN GARUT,AIR LEDENG  - PERKOTAAN,100552,KEPALA KELUARGA,2019
213,32,JAWA BARAT,3205,KABUPATEN GARUT,AIR LEDENG  - PEDESAAN,133655,KEPALA KELUARGA,2019
214,32,JAWA BARAT,3205,KABUPATEN GARUT,POMPA ,67951,KEPALA KELUARGA,2019
215,32,JAWA BARAT,3205,KABUPATEN GARUT,SUMUR TERLINDUNG ,28629,KEPALA KELUARGA,2019
216,32,JAWA BARAT,3205,KABUPATEN GARUT,MATA AIR TERLINDUNG ,44599,KEPALA KELUARGA,2019
217,32,JAWA BARAT,3205,KABUPATEN GARUT,AIR HUJAN ,2081,KEPALA KELUARGA,2019
218,32,JAWA BARAT,3205,KABUPATEN GARUT,TERMINAL AIR ,354,KEPALA KELUARGA,2019
219,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AIR LEDENG  - PERKOTAAN,85126,KEPALA KELUARGA,2019
220,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AIR LEDENG  - PEDESAAN,122379,KEPALA KELUARGA,2019
221,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,POMPA ,158623,KEPALA KELUARGA,2019
222,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SUMUR TERLINDUNG ,12745,KEPALA KELUARGA,2019
223,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATA AIR TERLINDUNG ,215,KEPALA KELUARGA,2019
224,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AIR HUJAN ,112,KEPALA KELUARGA,2019
225,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TERMINAL AIR ,788,KEPALA KELUARGA,2019
226,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AIR LEDENG  - PERKOTAAN,61429,KEPALA KELUARGA,2019
227,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AIR LEDENG  - PEDESAAN,58246,KEPALA KELUARGA,2019
228,32,JAWA BARAT,3215,KABUPATEN KARAWANG,POMPA ,207442,KEPALA KELUARGA,2019
229,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SUMUR TERLINDUNG ,40885,KEPALA KELUARGA,2019
230,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MATA AIR TERLINDUNG ,608,KEPALA KELUARGA,2019
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AIR HUJAN ,578,KEPALA KELUARGA,2019
232,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TERMINAL AIR ,0,KEPALA KELUARGA,2019
