"Centroid","Nama Kabupaten/Kota","Tahun","Member of the cluster","Jumlah Banjir","Jumlah Puting Beliung","Jumlah Tanah Longsor"
"3","KABUPATEN TASIKMALAYA","2015","[1 2 4]","1","2","4"
"3","KABUPATEN CIAMIS","2015","[3 8 6]","3","8","6"
"3","KABUPATEN CIREBON","2015","[1 0 1]","1","0","1"
"3","KABUPATEN MAJALENGKA","2015","[ 3  1 12]","3","1","12"
"3","KABUPATEN SUMEDANG","2015","[3 1 8]","3","1","8"
"3","KABUPATEN INDRAMAYU","2015","[1 1 0]","1","1","0"
"3","KABUPATEN SUBANG","2015","[0 0 1]","0","0","1"
"3","KABUPATEN PURWAKARTA","2015","[0 0 3]","0","0","3"
"3","KABUPATEN KARAWANG","2015","[0 0 0]","0","0","0"
"3","KABUPATEN BEKASI","2015","[3 1 0]","3","1","0"
"3","KABUPATEN BANDUNG BARAT","2015","[2 0 7]","2","0","7"
"3","KABUPATEN PANGANDARAN","2015","[ 1 19  6]","1","19","6"
"3","KOTA BOGOR","2015","[0 3 1]","0","3","1"
"3","KOTA SUKABUMI","2015","[0 0 0]","0","0","0"
"3","KOTA BANDUNG","2015","[2 2 2]","2","2","2"
"3","KOTA CIREBON","2015","[1 1 0]","1","1","0"
"3","KOTA BEKASI","2015","[1 0 0]","1","0","0"
"3","KOTA DEPOK","2015","[0 0 0]","0","0","0"
"3","KOTA CIMAHI","2015","[0 0 0]","0","0","0"
"3","KOTA TASIKMALAYA","2015","[2 1 2]","2","1","2"
"3","KOTA BANJAR","2015","[0 3 3]","0","3","3"
"3","KABUPATEN CIANJUR","2016","[ 7  1 12]","7","1","12"
"3","KABUPATEN CIREBON","2016","[0 0 0]","0","0","0"
"3","KABUPATEN INDRAMAYU","2016","[4 1 0]","4","1","0"
"3","KABUPATEN SUBANG","2016","[1 0 0]","1","0","0"
"3","KABUPATEN PURWAKARTA","2016","[0 1 1]","0","1","1"
"3","KABUPATEN KARAWANG","2016","[13 12  1]","13","12","1"
"3","KABUPATEN BEKASI","2016","[12  0  0]","12","0","0"
"3","KOTA SUKABUMI","2016","[2 2 5]","2","2","5"
"3","KOTA BANDUNG","2016","[7 3 3]","7","3","3"
"3","KOTA CIREBON","2016","[1 4 0]","1","4","0"
"3","KOTA BEKASI","2016","[9 0 1]","9","0","1"
"3","KOTA DEPOK","2016","[1 0 0]","1","0","0"
"3","KOTA BANJAR","2016","[1 2 2]","1","2","2"
"3","KABUPATEN CIREBON","2017","[7 5 4]","7","5","4"
"3","KABUPATEN INDRAMAYU","2017","[3 5 3]","3","5","3"
"3","KABUPATEN SUBANG","2017","[ 6 10  3]","6","10","3"
"3","KABUPATEN PURWAKARTA","2017","[0 0 2]","0","0","2"
"3","KABUPATEN KARAWANG","2017","[ 7 13  4]","7","13","4"
"3","KABUPATEN BEKASI","2017","[7 4 3]","7","4","3"
"3","KOTA SUKABUMI","2017","[0 1 0]","0","1","0"
"3","KOTA BANDUNG","2017","[5 8 2]","5","8","2"
"3","KOTA CIREBON","2017","[0 3 0]","0","3","0"
"3","KOTA BEKASI","2017","[5 2 2]","5","2","2"
"3","KOTA DEPOK","2017","[0 0 0]","0","0","0"
"3","KOTA CIMAHI","2017","[3 3 8]","3","3","8"
"3","KOTA BANJAR","2017","[2 9 9]","2","9","9"
"3","KABUPATEN CIREBON","2018","[10 10  4]","10","10","4"
"3","KABUPATEN INDRAMAYU","2018","[2 1 1]","2","1","1"
"3","KABUPATEN SUBANG","2018","[2 8 9]","2","8","9"
"3","KABUPATEN PURWAKARTA","2018","[0 5 3]","0","5","3"
"3","KABUPATEN KARAWANG","2018","[1 8 0]","1","8","0"
"3","KABUPATEN BEKASI","2018","[5 5 0]","5","5","0"
"3","KABUPATEN PANGANDARAN","2018","[3 7 4]","3","7","4"
"3","KOTA SUKABUMI","2018","[1 2 3]","1","2","3"
"3","KOTA CIREBON","2018","[2 2 1]","2","2","1"
"3","KOTA BEKASI","2018","[6 4 1]","6","4","1"
"3","KOTA DEPOK","2018","[0 1 0]","0","1","0"
"3","KOTA BANJAR","2018","[0 3 0]","0","3","0"
"3","KABUPATEN CIANJUR","2019","[3 8 7]","3","8","7"
"3","KABUPATEN CIREBON","2019","[ 9 14  2]","9","14","2"
"3","KABUPATEN INDRAMAYU","2019","[2 6 0]","2","6","0"
"3","KABUPATEN PURWAKARTA","2019","[ 0  9 10]","0","9","10"
"3","KABUPATEN KARAWANG","2019","[ 6 13  1]","6","13","1"
"3","KABUPATEN BEKASI","2019","[7 2 0]","7","2","0"
"3","KABUPATEN PANGANDARAN","2019","[0 2 2]","0","2","2"
"3","KOTA SUKABUMI","2019","[0 0 2]","0","0","2"
"3","KOTA BANDUNG","2019","[ 8 10  6]","8","10","6"
"3","KOTA CIREBON","2019","[ 2 14  0]","2","14","0"
"3","KOTA BEKASI","2019","[4 0 1]","4","0","1"
"3","KOTA DEPOK","2019","[2 3 1]","2","3","1"
"3","KOTA CIMAHI","2019","[ 6 13  6]","6","13","6"
"3","KOTA BANJAR","2019","[0 2 1]","0","2","1"
"3","KABUPATEN INDRAMAYU","2020","[5 4 0]","5","4","0"
"3","KABUPATEN KARAWANG","2020","[8 3 0]","8","3","0"
"3","KABUPATEN BEKASI","2020","[16  4  1]","16","4","1"
"3","KOTA SUKABUMI","2020","[0 3 0]","0","3","0"
"3","KOTA BANDUNG","2020","[8 2 5]","8","2","5"
"3","KOTA CIREBON","2020","[4 4 3]","4","4","3"
"3","KOTA BEKASI","2020","[5 1 0]","5","1","0"
"3","KOTA DEPOK","2020","[5 3 6]","5","3","6"
"3","KOTA CIMAHI","2020","[13  5  1]","13","5","1"
"3","KOTA TASIKMALAYA","2020","[0 3 5]","0","3","5"
